"","items","support","count"
"[1]","{I1,I2,I4}",0.111111111111111,1
"[2]","{I2,I4}",0.222222222222222,2
"[3]","{I1,I4}",0.111111111111111,1
"[4]","{I2,I3,I5}",0.111111111111111,1
"[5]","{I1,I3,I5}",0.111111111111111,1
"[6]","{I1,I2,I5}",0.222222222222222,2
"[7]","{I2,I5}",0.222222222222222,2
"[8]","{I1,I5}",0.222222222222222,2
"[9]","{I3,I5}",0.111111111111111,1
"[10]","{I1,I2,I3}",0.222222222222222,2
"[11]","{I2,I3}",0.444444444444444,4
"[12]","{I1,I3}",0.444444444444444,4
"[13]","{I1,I2}",0.444444444444444,4
